id,title,content,year,author
1,Over 4 Million Americans Roll Up Sleeves For Omicron-Targeted COVID Boosters,Health experts said it is too early to predict whether demand would match up with the 171 million doses of the new boosters the U.S. ordered for the fall.,2022,Carla K. Johnso
2,"American Airlines Flyer Charged, Banned For Life After Punching Flight Attendant On Video","He was subdued by passengers and crew when he fled to the back of the aircraft after the confrontation, according to the U.S. attorney's office in Los Angeles.",2022,Mary Papenfuss 
3,23 Of The Funniest Tweets About Cats And Dogs This Week (Sept. 17-23),"""Until you have a dog you don't understand what could be eaten.""",2022,Elyse Wanshel  
4,The Funniest Tweets From Parents This Week (Sept. 17-23),"""Accidentally put grown-up toothpaste on my toddler’s toothbrush and he screamed like I was cleaning his teeth with a Carolina Reaper dipped in Tabasco sauce.""",2022,Caroline Bologn
5,Woman Who Called Cops On Black Bird-Watcher Loses Lawsuit Against Ex-Employer,Amy Cooper accused investment firm Franklin Templeton of unfairly firing her and branding her a racist after video of the Central Park encounter went viral.,2022,Nina Golgowski 
6,Cleaner Was Dead In Belk Bathroom For 4 Days Before Body Found: Police,"The 63-year-old woman was seen working at the South Carolina store on Thursday. She was found dead Monday after her family reported her missing, authorities said.",2022,               
7,Reporter Gets Adorable Surprise From Her Boyfriend While Live On TV,"""Who's that behind you?"" an anchor for New York’s PIX11 asked journalist Michelle Ross as she finished up an interview.",2022,Elyse Wanshel  
8,Puerto Ricans Desperate For Water After Hurricane Fiona’s Rampage,More than half a million people remained without water service three days after the storm lashed the U.S. territory.,2022,"DÁNICA COTO, AP"
9,How A New Documentary Captures The Complexity Of Being A Child Of Immigrants,"In ""Mija,"" director Isabel Castro combined music documentaries with the style of ""Euphoria"" and ""Clueless"" to tell a more nuanced immigration story.",2022,Marina Fang    
10,Biden At UN To Call Russian War An Affront To Body's Charter,White House officials say the crux of the president's visit to the U.N. this year will be a full-throated condemnation of Russia and its brutal war.,2022,"Aamer Madhani, "
11,World Cup Captains Want To Wear Rainbow Armbands In Qatar,FIFA has come under pressure from several European soccer federations who want to support a human rights campaign against discrimination at the World Cup.,2022,"GRAHAM DUNBAR, "
12,Man Sets Himself On Fire In Apparent Protest Of Funeral For Japan's Abe,"The incident underscores a growing wave of protests against the funeral for Shinzo Abe, who was one of the most divisive leaders in postwar Japanese politics.",2022,"Mari Yamaguchi,"
13,Fiona Threatens To Become Category 4 Storm Headed To Bermuda,Hurricane Fiona lashed the Turks and Caicos Islands and was forecast to squeeze past Bermuda later this week.,2022,"Dánica Coto, AP"
